Country,Continent,Reserves,Production,Resources,Metal
Australia,Oceania,6200000,61000,7900000,Lithium
China ,Asia,2000000,19000,6800000,Lithium
Democratic Republic of Congo,Africa,0,0,3000000,Lithium
Chile,America,9300000,39000,11000000,Lithium
Mexico,America,0,0,1700000,Lithium
USA,America,1000000,0,12000000,Lithium
Argentina,America,2700000,6200,20000000,Lithium
Germany,Europe,0,0,3200000,Lithium
Bolivia,America,0,0,21000000,Lithium
Rest of the World,World,4800000,4800,11400000,Lithium
 TOTAL World,World,26000000,130000,11400000,Lithium
